[2022-07-14 08:59:13:0783] | Info     | Manager.cpp              -L1655: ---------------------Start call Mv3dRgbd.dll start--------------------
[2022-07-14 08:59:13:0783] | Info     | Manager.cpp              -L1659: Build Time[220620_19:45:12], SDK version[0x1000003].
[2022-07-14 08:59:13:0783] | Info     | Manager.cpp              -L1661: Mv3dRgbd.dll path [C:\Program Files (x86)\National Instruments\LabVIEW 2015\user.lib\Mv3dRgbd\Mv3dRgbd.dll]
[2022-07-14 08:59:13:0783] | Info     | Manager.cpp              -L1662: Current ExE path [C:\Program Files (x86)\National Instruments\LabVIEW 2015\LabVIEW.exe]
[2022-07-14 08:59:13:0783] | Info     | Manager.cpp              -L1671: Config (C:\Program Files (x86)\National Instruments\LabVIEW 2015\user.lib\Mv3dRgbd\Mv3dRgbdCfg.ini) not exist, use default value .
[2022-07-14 08:59:13:0783] | Info     | Manager.cpp              -L1674: DebugMode[0], nLogSize[100].
[2022-07-14 08:59:13:0783] | Info     | Manager.cpp              -L1082: [Init] Begin.
[2022-07-14 08:59:13:0785] | Info     | Manager.cpp              -L1115: [Init] end success.
[2022-07-14 08:59:13:0785] | Info     | Manager.cpp              -L0465: [BindDevBySomeWay] start. chParm[00202207013].
[2022-07-14 08:59:13:0785] | Info     | CameraModule.cpp         -L0085: [Enum] begin.
[2022-07-14 08:59:13:0974] | Info     | CameraModule.cpp         -L0102: [Enum] enum by gige sdk, get camera num:[14].
[2022-07-14 08:59:13:0974] | Info     | CameraModule.cpp         -L0105: [Enum] end success.
[2022-07-14 08:59:13:0974] | Error    | Manager.cpp              -L0560: [CompareBindParm] the input nDeviceNum (00202207013) not match enum nDeviceNum (00201201207/) .
[2022-07-14 08:59:13:0974] | Error    | Manager.cpp              -L0560: [CompareBindParm] the input nDeviceNum (00202207013) not match enum nDeviceNum (00F64358373/) .
[2022-07-14 08:59:13:0974] | Error    | Manager.cpp              -L0560: [CompareBindParm] the input nDeviceNum (00202207013) not match enum nDeviceNum (00C03655146/) .
[2022-07-14 08:59:13:0974] | Error    | Manager.cpp              -L0560: [CompareBindParm] the input nDeviceNum (00202207013) not match enum nDeviceNum (00C87836157/) .
[2022-07-14 08:59:13:0974] | Error    | Manager.cpp              -L0560: [CompareBindParm] the input nDeviceNum (00202207013) not match enum nDeviceNum (00F48672925/) .
[2022-07-14 08:59:13:0974] | Error    | Manager.cpp              -L0560: [CompareBindParm] the input nDeviceNum (00202207013) not match enum nDeviceNum (00202108165/) .
